config,Section,Item,Value,Notes,Cost overlay
larger,State Dimension,iv:BA,mu=0.00609757; omega=0.051243; alpha=0.115866; beta=0,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:BAC,mu=0.0051177; omega=0.0408686; alpha=0.132519; beta=0.377009,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:BKNG,mu=0; omega=1e-08; alpha=0; beta=0,n_obs=0; fallback=True; reason=n_obs<60,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:C,mu=0.00682353; omega=0.0334714; alpha=0.0235704; beta=0.478848,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:CCL,mu=-0.00868334; omega=0.0379434; alpha=0.522745; beta=0,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:CHTR,mu=0.00215152; omega=0.046845; alpha=0.05055; beta=0.430354,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:CMCSA,mu=-0.00118763; omega=0.00624424; alpha=0; beta=0.883604,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:COST,mu=-0.00449257; omega=0.0381501; alpha=0.265616; beta=0.394118,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:CRM,mu=-0.00392774; omega=0.107912; alpha=0.176407; beta=3.29805e-21,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:CSCO,mu=-0.00687591; omega=0.0224696; alpha=3.58418e-16; beta=0.903414,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:CVX,mu=0.00862922; omega=0.000618767; alpha=0; beta=1,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:DAL,mu=-0.0340426; omega=0.0306938; alpha=0.751482; beta=0.00551388,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:DIS,mu=0.00525988; omega=1.25068e-09; alpha=2.94733e-13; beta=0.992003,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:GE,mu=0.0119886; omega=0.0289945; alpha=0.0296858; beta=0.459319,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:GILD,mu=-0.000795396; omega=0.0553358; alpha=3.78705e-17; beta=0.49666,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:GOOG,mu=0.00313383; omega=0.0031456; alpha=7.99846e-13; beta=0.961012,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:GS,mu=-0.00303564; omega=0.0132298; alpha=0.0698956; beta=0.790684,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:HD,mu=-0.000122497; omega=0.0468307; alpha=0.221426; beta=0.288504,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:INTC,mu=0.00457134; omega=0.0358804; alpha=0.155838; beta=0.33967,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:JNJ,mu=0.00082979; omega=0.0326097; alpha=4.9985e-18; beta=0.497928,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:KO,mu=0.00303208; omega=0.000816421; alpha=0.0541841; beta=0.945816,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:LLY,mu=-0.0285295; omega=0.0291547; alpha=0.688918; beta=0.0312553,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:LRCX,mu=0.00429415; omega=0.00118966; alpha=6.40796e-12; beta=0.981998,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:MA,mu=0.00131833; omega=0.0343073; alpha=0; beta=0.498558,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:MRK,mu=0.00732421; omega=0.065389; alpha=0.265033; beta=8.71932e-18,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:MU,mu=0.00735726; omega=0.00746927; alpha=0.45669; beta=0.434231,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:NFLX,mu=0.0113654; omega=0.0528072; alpha=0.147535; beta=0.540271,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:NKE,mu=-0.00690954; omega=0.0158061; alpha=0.292851; beta=0.364672,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:ORCL,mu=-0.000541097; omega=0.00166495; alpha=2.50761e-12; beta=0.997167,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:PFE,mu=0.00323087; omega=0.000567128; alpha=1.59965e-16; beta=1,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:PG,mu=-0.00382388; omega=0.0545619; alpha=0.34462; beta=4.27383e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:PYPL,mu=0.0118591; omega=0.0274207; alpha=0.445527; beta=0,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:QCOM,mu=0.000419265; omega=0.0521239; alpha=1.13685e-17; beta=0.500758,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:SBUX,mu=0.0034045; omega=0.0602264; alpha=0.097534; beta=2.87648e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:T,mu=0.000748939; omega=0.0285072; alpha=0; beta=0.494729,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:TXN,mu=0.00245294; omega=0.0303806; alpha=0.368131; beta=0.18829,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:UAL,mu=-0.0265362; omega=0.00622094; alpha=0.674492; beta=0.325508,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:UNH,mu=-0.00769029; omega=0.0172286; alpha=0.101701; beta=0.687089,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:V,mu=0.00398165; omega=0.0380639; alpha=0; beta=0.501966,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:VZ,mu=-0.00676245; omega=0.0358478; alpha=0.353422; beta=0.137708,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:WFC,mu=0.0161672; omega=0.038005; alpha=0.399345; beta=0.233634,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:WMT,mu=0.000192833; omega=0.0114941; alpha=0.163763; beta=0.747634,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:XOM,mu=-0.00663937; omega=0.0598701; alpha=0.193259; beta=0.00247967,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,vix:VIX,mu=0.00114242; omega=0.0338075; alpha=0.49259; beta=0.0963354,n_obs=68; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Simulation Method,joint_garch_block,joint block rows preserve empirical cross-dependence; gaussian_copula is rank-mapped sensitivity,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Strike Rule,K_t = entry state_t * exp(train median log moneyness),"Static moneyness, repriced each month","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Original Tenor Reference,train median tenor_days / 365,Stored as tenor_years for audit only,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Pricing Tenor Rule,0.08333333333333333,Synthetic contracts are one-step (1-month) options so premium and payoff horizons match; realized-kernel tenors average ~0.6 months,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Skew Freeze,contract median IV / underlying ATM median IV,262 contracts,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Rate,0.02,Continuously-compounded annual rate used in BS and Black-76,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,IV Floors Caps,0.05 to 2.0,Applied to ATM and skew-adjusted contract IV,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,VIX Level Caps,5.0 to 150.0,Applied during state reconstruction,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Min Mark Rule,0.25,"Entry denominator uses max(model premium, min_mark) in dollars","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Spot Anchor,contract train-end spot,State spot paths are relative to 1.0 and scaled by anchor_spot at repricing,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,VIX Forward Convention,simulated spot:VX_FRONT entry forward; VIX level settlement proxy at t+1,"Premium uses the VX-front state, payoff uses simulated VIX level","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Seed,20260625,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Path Count,1000,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Horizon Months,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Block Length,6,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,Kernel,Min GARCH Obs,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:AAPL,mu=0.019431; omega=0.00113634; alpha=0.0777105; beta=0.748476,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:AMZN,mu=0.0316915; omega=0.00203097; alpha=0; beta=0.704828,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:GOOGL,mu=0.0182634; omega=0.00348159; alpha=0.143728; beta=2.13318e-14,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:JPM,mu=0.0162303; omega=0.00362136; alpha=0.211243; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:META,mu=0.0213947; omega=0.00167887; alpha=0.315841; beta=0.392632,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:MSFT,mu=0.0262454; omega=0.000436407; alpha=0.140304; beta=0.728673,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:NVDA,mu=0.049128; omega=0.00330517; alpha=0.0538818; beta=0.712314,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:TSLA,mu=0.0189024; omega=0.000354872; alpha=0.0604221; beta=0.939578,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:AAL,mu=-0.0140827; omega=0.000202769; alpha=5.8669e-13; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:ADBE,mu=0.0274684; omega=2.87916e-05; alpha=1.30463e-14; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:AMAT,mu=0.0178126; omega=6.05899e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:AMD,mu=0.0417538; omega=0.0039531; alpha=0.422283; beta=0.470468,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:AVGO,mu=0.0263665; omega=0.00449406; alpha=0.351953; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:BA,mu=0.00655971; omega=0.000240565; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:BAC,mu=0.012173; omega=0.00569175; alpha=0.222592; beta=6.27325e-14,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:BKNG,mu=0; omega=1e-12; alpha=0; beta=0,n_obs=70; fallback=True; reason=garch_failed:ValueError,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:C,mu=0.0131929; omega=0.00443351; alpha=0.432637; beta=0.214889,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:CCL,mu=-0.00291196; omega=0.00270246; alpha=1; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:CHTR,mu=0.01429; omega=0.000167653; alpha=0.0602564; beta=0.824335,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:CMCSA,mu=3.99204e-05; omega=0.00124682; alpha=0; beta=0.898966,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:COST,mu=0.0135988; omega=0.000204607; alpha=0; beta=0.92608,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:CRM,mu=0.0201411; omega=0.000469679; alpha=0.0231412; beta=0.908345,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:CSCO,mu=0.008498; omega=0.000131322; alpha=0.0485338; beta=0.933887,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:CVX,mu=0.00345512; omega=0.000762198; alpha=0.268053; beta=0.638278,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:DAL,mu=0.00388277; omega=0.00146731; alpha=0.432534; beta=0.552307,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:DIS,mu=0.00807985; omega=0.000262314; alpha=0.0894736; beta=0.880962,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:GE,mu=-0.0059039; omega=0.000246726; alpha=0.0854474; beta=0.914553,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:GILD,mu=-0.00837274; omega=0.00115406; alpha=4.48018e-18; beta=0.751448,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:GOOG,mu=0.0188046; omega=0.00322385; alpha=0.198883; beta=2.35162e-13,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:GS,mu=0.00579135; omega=0.00412237; alpha=0.421364; beta=1.66102e-15,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:HD,mu=0.0127264; omega=0.00285455; alpha=0.130805; beta=1.55623e-17,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:INTC,mu=0.00585943; omega=4.40056e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:JNJ,mu=0.00628554; omega=2.85231e-05; alpha=8.90816e-14; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:KO,mu=0.00340344; omega=0.00101565; alpha=0.572744; beta=6.24426e-13,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:LLY,mu=0.0100795; omega=3.67755e-05; alpha=1.24597e-13; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:LRCX,mu=0.0228495; omega=7.14258e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:MA,mu=0.0211644; omega=0.000810293; alpha=0.252221; beta=0.581192,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:MRK,mu=0.00431296; omega=0.000624241; alpha=7.45817e-16; beta=0.760937,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:MU,mu=0.014834; omega=0.000780325; alpha=0; beta=0.94405,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:NFLX,mu=0.0254178; omega=4.20898e-05; alpha=0; beta=0.943461,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:NKE,mu=0.0143411; omega=7.3881e-05; alpha=0; beta=0.968525,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:ORCL,mu=0.00532279; omega=2.20809e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:PFE,mu=0.00545318; omega=0.000226707; alpha=0.128238; beta=0.817365,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:PG,mu=0.00832719; omega=0.00130505; alpha=0.103097; beta=0.131368,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:PYPL,mu=0.0225291; omega=0.00248313; alpha=0.489796; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:QCOM,mu=0.0131872; omega=0.0107005; alpha=0.0527596; beta=0.10897,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:SBUX,mu=0.00856075; omega=0.000584713; alpha=3.98815e-10; beta=0.866143,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:T,mu=-0.000861279; omega=4.72436e-05; alpha=1.06299e-11; beta=0.992245,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:TXN,mu=0.0162532; omega=0.000300906; alpha=0.0539802; beta=0.873855,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:UAL,mu=0.0100788; omega=0.00272579; alpha=0.469463; beta=0.488963,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:UNH,mu=0.0188038; omega=0.000923444; alpha=0.229852; beta=0.468105,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:V,mu=0.0177103; omega=0.000620135; alpha=0; beta=0.790422,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:VZ,mu=0.00358539; omega=0.00114448; alpha=1.72973e-11; beta=0.501885,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:WFC,mu=-0.00294708; omega=0.00324148; alpha=0.595602; beta=0.0501076,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:WMT,mu=0.00787657; omega=0.00058718; alpha=0.167098; beta=0.638446,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:XOM,mu=-0.0073419; omega=0.00094378; alpha=0.376541; beta=0.498132,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,spot:VX_FRONT,mu=-0.00580358; omega=0.0268687; alpha=0.446917; beta=0.0984006,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:AAPL,mu=0.0081573; omega=0.0225031; alpha=0.213579; beta=0.606376,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:AMZN,mu=0.000709312; omega=0.0592597; alpha=0.042638; beta=0.453598,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:GOOGL,mu=-0.00220899; omega=0.0485703; alpha=0.00707529; beta=0.485269,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:JPM,mu=-0.00210938; omega=0.0415749; alpha=0.0733827; beta=0.415499,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:META,mu=-0.00157152; omega=0.0244162; alpha=0.205676; beta=0.547104,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:MSFT,mu=0.00613006; omega=0.0939383; alpha=0.221406; beta=1.84521e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:NVDA,mu=0.000877734; omega=0.0172009; alpha=0.162236; beta=0.739677,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:TSLA,mu=-0.00981235; omega=0.0226323; alpha=0.187789; beta=0.505187,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:AAL,mu=-0.00233372; omega=0.0179901; alpha=0.792447; beta=3.0826e-13,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:ADBE,mu=0.00300399; omega=0.0597772; alpha=0; beta=0.49935,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:AMAT,mu=-0.00572473; omega=0.0128879; alpha=0.0539716; beta=0.805985,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:AMD,mu=-0.00754972; omega=0.011858; alpha=0.735529; beta=0.00615266,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:AVGO,mu=-0.00323188; omega=0.00599932; alpha=0; beta=0.956618,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:BA,mu=0.00609757; omega=0.051243; alpha=0.115866; beta=0,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger+VIX,State Dimension,iv:BAC,mu=0.0051177; omega=0.0408686; alpha=0.132519; beta=0.377009,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
